"companies_number","companies_name","companies_name_url","companies_code","companies_code_url","companies_category","companies_sector","companies_sector_url"
"225","MAESTROLOC","https://www.ivalor.com.br/empresas/MSRO","MSRO3","https://www.ivalor.com.br/empresas/acoes/MSRO3","-","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"226","METAL IGUACU","https://www.ivalor.com.br/empresas/MTIG","MTIG4","https://www.ivalor.com.br/empresas/acoes/MTIG4","Nano Cap","Materiais Básicos","https://www.ivalor.com.br/empresas/listagem?setor=29"
"227","MITRE REALTY","https://www.ivalor.com.br/empresas/MTRE","MTRE3","https://www.ivalor.com.br/empresas/acoes/MTRE3","Small Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"228","METISA","https://www.ivalor.com.br/empresas/MTSA","MTSA4","https://www.ivalor.com.br/empresas/acoes/MTSA4","Micro Cap","Bens Industriais","https://www.ivalor.com.br/empresas/listagem?setor=26"
"229","MULTIPLAN","https://www.ivalor.com.br/empresas/MULT","MULT3","https://www.ivalor.com.br/empresas/acoes/MULT3","Mid Cap","Financeiro","https://www.ivalor.com.br/empresas/listagem?setor=33"
"230","WETZEL S/A","https://www.ivalor.com.br/empresas/MWET","MWET4","https://www.ivalor.com.br/empresas/acoes/MWET4","Nano Cap","Bens Industriais","https://www.ivalor.com.br/empresas/listagem?setor=26"
"231","IOCHP-MAXION","https://www.ivalor.com.br/empresas/MYPK","MYPK3","https://www.ivalor.com.br/empresas/acoes/MYPK3","Small Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"232","NADIR FIGUEI","https://www.ivalor.com.br/empresas/NAFG","NAFG4","https://www.ivalor.com.br/empresas/acoes/NAFG4","Micro Cap","Consumo Cíclico","https://www.ivalor.com.br/empresas/listagem?setor=27"
"233","SUZANO HOLD","https://www.ivalor.com.br/empresas/NEMO","NEMO6","https://www.ivalor.com.br/empresas/acoes/NEMO6","-","Materiais Básicos","https://www.ivalor.com.br/empresas/listagem?setor=29"
"234","NEOENERGIA","https://www.ivalor.com.br/empresas/NEOE","NEOE3","https://www.ivalor.com.br/empresas/acoes/NEOE3","Mid Cap","Utilidade Pública","https://www.ivalor.com.br/empresas/listagem?setor=25"
